Reaction	In-Pathway
RXN-4313	PWY-2681
STEROID-DELTA-ISOMERASE-RXN	
RXN-19504	
RXN-18311	PWY-7841
RXN-13207	PWY-7018
RXN-14823	
RXN-23758	PWY-8438
CELLOBIOSE-EPIMERASE-RXN	
RXN-14167	PWY-7186
RXN-11349	PWY-6470
1.1.1.278-RXN	PWY-6032
RXN-17546	PWY-7771
RXN-1125	PWY-361
DIOXYXANFL-RXN	14DICHLORBENZDEG-PWY
RXN-17772	PWY-7789 // PWY-8090 // PWY-8091 // PWY-7787
RXN-21475	PWY-8151
RXN-19464	PWY-8358 // PWY-8343
RXN-11400	
RXN-14857	PWY-7357
RXN-15512	RXN-15513
RXN-21307	PWY-8128 // RXN-21306
RXN-9426	PWY-5927
RXN-20985	
RXN-8297	PWY-782
ACYLPYRUVATE-HYDROLASE-RXN	
2.3.1.154-RXN	
RXN-13550	PWY-7079
RXN-9140	PWY-5818 // PWY-7752
RXN-21034	PWY-8106
RXN-14178	PWY-7237
RXN-9438	PWY-5926
RXN-24024	PWY-8464
RXN-4734	PWY-2901
RXN-22262	PWY-8247
RXN-8782	PWY-5782 // PWY-5521
3.1.3.56-RXN	PWY-6363
RXN-21406	RXN-24010 // PWY-8146
RXN-18836	PWY-8084
RXN-19341	PWY-6268
RXN-20008	PWY-8022
RXN-4121	PWY-2501
RXN-23047	PWY-8358
RXN1F-443	PWY-5320
RXN-11581	
RXN-20419	PWY-8044
CAFFEATE-34-DIOXYGENASE-RXN	
RXN-17868	
RXN-9088	PWY-2021
RXN-12747	PWY-8152 // PWY-6944
ARGINASE-RXN	PWY-46 // PWY-6922 // CITRULBIO-PWY // ARGASEDEG-PWY // ARG-GLU-PWY // ARG-PRO-PWY // PWY-4984
RXN-12155	PWY-1121
RXN-13615	PWY0-1337 // PWY-7094
1.3.99.15-RXN	CENTBENZCOA-PWY // P321-PWY
RXN-5341	PWY-7091 // PWY-3121
RXN-9218	PWY-5848
RXN-13416	PWY-5905 // 2.5.1.46-RXN
4.2.2.15-RXN	
GIBBERELLIN-BETA-GLUCOSYLTRANSFERASE-RXN	
RXN-22495	
UROGENDECARBOX-RXN	HEME-BIOSYNTHESIS-II-1 // PWY-7159 // CHLOROPHYLL-SYN // HEME-BIOSYNTHESIS-II // PWY-5531 // PWY-7766 // HEMESYN2-PWY
RXN-24463	PWY-8520 // RXN-24464
RXN-22114	PWY-8216
RXN-8808	LYSINE-6-DEHYDROGENASE-RXN // PWY-5314
RXN-21070	
RXN-17920	DNA-LIGASE-NAD+-RXN
RXN-8268	PWY-5321
RXN-22873	
RXN-22316	
1.14.13.64-RXN	
HEME-OXYGENASE-DECYCLIZING-RXN	PWY-5874
RXN-10614	PWY-6261
RXN-20714	
2.7.13.1-RXN	
RXN-13366	PWY-7043
RXN-22914	P-PANTOCYSLIG-RXN
AMINE-N-METHYLTRANSFERASE-RXN	
RXN-13670	
RXN-13763	
RXN-15909	PWY-842
RXN-16724	PWY-7671
