Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-7791	Nucleotide-Biosynthesis	UMP-Biosynthesis	TAX-201174 // TAX-1239 // TAX-2157	TAX-224308 // TAX-1360	OROTATE-REDUCTASE-NADH-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN
PWY-7780	Hydrocarbon-Degradation	Hydrocarbon-Degradation	TAX-2	TAX-86174	RXN-17643 // RXN-17642 // RXN-17641 // RXN-17638
PWY-3385	Polyamine-Biosynthesis	Choline-Biosynthesis	TAX-33090	TAX-3708 // TAX-3847 // TAX-4097 // TAX-3562 // ORG-5993	RXN-5647 // RXN-5643 // RXN-5642 // 2.1.1.103-RXN // ETHANOLAMINE-KINASE-RXN // RXN-5641
PWY-5956	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-4751	TAX-5059 // TAX-162425 // TAX-5067	RXN-21582 // RXN-21581 // RXN-21578 // RXN-21576 // RXN-21577 // RXN-21575 // RXN-21574 // 2.1.1.109-RXN // RXN-9495
PWY-7790	Nucleotide-Biosynthesis	UMP-Biosynthesis	TAX-33682 // TAX-4751 // TAX-2	TAX-1359 // TAX-559292 // TAX-5693	CARBPSYN-RXN // RXN-9929 // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN
PWY-7832	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-33208	TAX-9606	RXN-18259 // RXN-18242 // RXN-18247 // RXN-18246 // RXN-18244 // RXN-18252 // RXN-18257 // RXN-18256 // RXN-18234 // 2.4.1.65-RXN
PWY-7708	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-1117	TAX-158786 // TAX-1155739	RXN-17006 // RXN-17005 // RXN-17004 // RXN-17003 // RXN-17002
PWY-5915	Tetrapyrrole-Biosynthesis	Phycobilin-Biosynthesis	TAX-1117	TAX-33072 // TAX-272131 // TAX-59919 // TAX-32052	RXN-17523 // RXN-15985 // 1.3.7.2-RXN // 1.3.7.3-RXN
PWY-3561	Polyamine-Biosynthesis	Choline-Biosynthesis	TAX-2157 // TAX-2 // TAX-2759	TAX-3847 // TAX-3888 // TAX-3988 // ORG-5993	RXN-5781 // PHOSCHOL-RXN // 2.7.7.15-RXN
PWY-8358	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-1117	TAX-489825	MALONYL-COA-DECARBOXYLASE-RXN // RXN-23055 // RXN-23054 // RXN-23053 // RXN-23052 // RXN-23051 // RXN-23050 // RXN-23049 // RXN-23048 // RXN-23047 // RXN-19464 // RXN-23045 // RXN-23044 // RXN-23043 // RXN-23042 // RXN-23041 // RXN-23040 // RXN-23039 // RXN-23038 // RXN-23037 // RXN-23036 // RXN-23035
GLUTATHIONESYN-PWY	Other-biosynthesis	Reductants	TAX-2 // TAX-2759	TAX-511145 // TAX-9606 // TAX-1148 // ORG-5993	GLUTATHIONE-SYN-RXN // GLUTCYSLIG-RXN
PWY-7578	Tetrapyrrole-Biosynthesis	Phycobilin-Biosynthesis	TAX-1117	TAX-83541 // TAX-103690	RXN-17523 // RXN-15988 // RXN-15986 // 1.3.7.5-RXN
PWY-7918	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-4751	TAX-4932	RXN-18909 // RXN-18908 // RXN-18907 // 3.2.1.106-RXN
PWY-6493	SECONDARY-METABOLITE-BIOSYNTHESIS	INDOLE-ALKALOIDS // Toxin-Biosynthesis	TAX-451871 // TAX-34397	TAX-746128 // TAX-40611 // TAX-40602 // TAX-5111 // TAX-1915362 // TAX-63400	RXN-13468 // RXN-11389 // RXN-11386 // TRYPTOPHAN-DIMETHYLALLYLTRANSFERASE-RXN
PWY-7250	Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	TAX-2759 // TAX-2 // TAX-2157	TAX-224308 // TAX-511145 // TAX-9606 // TAX-4932	RXN-15881 // RXN-14391 // RXN-14390 // RXN-14389 // RXN-14388 // RXN-14387 // RXN-14386 // RXN-14385 // RXN-14384 // RXN-14381
PWY-7170	Tetrapyrrole-Biosynthesis	Phycobilin-Biosynthesis	TAX-3041 // TAX-33090	ORG-5993	RXN-17523 // RXN-13968 // 1.3.7.4-RXN
PWY-6945	Fatty-Acid-and-Lipid-Degradation	Cholesterol-Degradation	TAX-2	TAX-83332 // TAX-43767 // TAX-685727 // TAX-101510 // TAX-1829 // TAX-1830 // TAX-441625 // TAX-74576	RXN-12849 // RXN-12850 // RXN-12848 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12778 // RXN-12694 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702
PWY-7954	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-317	TAX-317	RXN-19259 // RXN-19255 // RXN-19254 // RXN-19257 // RXN-19258 // RXN-19260
