Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-7769	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-2065	RXN-17195 // RXN-17196 // RXN-17197 // RXN-17198 // RXN-17192 // RXN-17191 // RXN-17190 // RXN-17189 // RXN-17188 // 4.1.1.82-RXN // RXN-10837 // RXN-10828 // RXN-10827 // RXN-10826 // RXN-10829 // RXN-10830 // RXN-10831 // RXN-10832 // RXN-10833 // RXN-10834 // RXN-10835 // RXN-10836 // RXN-10824 // RXN-9009 // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY-5441	Interconversion	Interconversion	TAX-3193	ORG-5993	MMUM-RXN // METHIONINE-S-METHYLTRANSFERASE-RXN
GALDEG-PWY	Carbohydrates-Degradation	GALACTOSE-DEGRADATION	TAX-1224	TAX-354 // TAX-304 // TAX-294 // TAX-382 // TAX-40324	GALACTONOLACTONASE-RXN // GALACTODEHYDROG-RXN
PWY-8030	SECONDARY-METABOLITE-BIOSYNTHESIS	ISOQUINOLINE-ALKALOIDS	TAX-33090	TAX-71251 // TAX-261450 // TAX-3442 // TAX-261448 // TAX-3469	RXN-20166 // 1.1.3.32-RXN // 1.14.21.2-RXN // RETICULINE-OXIDASE-RXN
P161-PWY	Energy-Metabolism	Acetate-Formation // Pyruvate-Ethanol-Fermentation	TAX-2	TAX-188916 // TAX-29542 // TAX-37919 // TAX-1829 // TAX-1830	ALCOHOL-DEHYDROG-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ACETALD-DEHYDROG-RXN // R141-RXN
PWY-8036	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // POLYKETIDE-SYN	TAX-201174	TAX-1437453	RXN-20296 // RXN-20295 // RXN-20294 // RXN-20293 // RXN-20292 // RXN-20283 // RXN-20284 // RXN-20286 // RXN-20287 // RXN-20288 // RXN-20289 // RXN-20290 // RXN-20291
PWY-5945	Interconversion // SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis // Interconversion	TAX-4751 // TAX-2763 // TAX-1117 // TAX-33090	TAX-4072 // TAX-3055 // TAX-4092 // TAX-4081 // TAX-4113 // TAX-264483 // ORG-5993 // ORG-6001	RXN-7979 // RXN-7984 // RXN-7978 // RXN-7985
PWY-6693	Carbohydrates-Degradation	GALACTOSE-DEGRADATION	TAX-4751	TAX-334564 // TAX-5061 // TAX-380704 // TAX-51453	RXN-12080 // RXN-12079 // RXN-12078
PWY-3901	SECONDARY-METABOLITE-BIOSYNTHESIS	ISOQUINOLINE-ALKALOIDS	TAX-3440 // TAX-3465 // TAX-3455 // TAX-3401 // TAX-41773	TAX-54796 // TAX-258211 // TAX-3442 // TAX-282776 // TAX-150094 // ORG-5876	TETRAHYDROBERBERINE-OXIDASE-RXN // 1.1.3.36-RXN // 2.1.1.117-RXN // RETICULINE-OXIDASE-RXN
PWY-8374	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-1883	TAX-1888 // TAX-1889 // TAX-68180 // TAX-53450 // TAX-1298930 // TAX-861065	RXN-23194 // RXN-23207 // RXN-23205 // RXN-23206 // RXN-23204 // RXN-23203 // RXN-23202 // RXN-23201 // RXN-23200 // RXN-23199 // RXN-23197 // RXN-23196 // RXN-23195
PWY-7056	Interconversion // AROMATIC-COMPOUNDS-BIOSYN	COUMARIN-SYN // Interconversion	TAX-58024	TAX-4097 // TAX-329675	2.4.1.104-RXN // RXN-13453
PWY-6317	Carbohydrates-Degradation	GALACTOSE-DEGRADATION	TAX-4751 // TAX-3193 // TAX-2	TAX-511145 // TAX-3847 // TAX-272634 // TAX-1308 // TAX-3906 // ORG-5993	PHOSPHOGLUCMUT-RXN // ALDOSE1EPIM-RXN // UDPGLUCEPIM-RXN // GALACTURIDYLYLTRANS-RXN // GALACTOKIN-RXN
PWY-5470	SECONDARY-METABOLITE-BIOSYNTHESIS	ISOQUINOLINE-ALKALOIDS	TAX-3398	TAX-3442 // TAX-258211	RETICULINE-OXIDASE-RXN // 2.1.1.117-RXN // 2.1.1.118-RXN // 2.1.1.89-RXN // RXN-8699 // RXN-8698
PWY-5536	Energy-Metabolism	Acetate-Formation	TAX-2 // TAX-6157 // TAX-4751 // TAX-5719 // TAX-33682 // TAX-554915	TAX-33011 // TAX-5759 // TAX-6192 // TAX-5671 // TAX-5665 // TAX-73818 // TAX-5706 // TAX-5722 // TAX-56690 // TAX-5691	RXN-8807
PWY-5940	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-33901 // TAX-33898 // TAX-1896 // TAX-1911	PHOSPHOGLUCMUT-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-11099 // RXN-11098 // 2.6.1.56-RXN // RXN-11097 // 3.1.3.40-RXN // STREPTOMYCIN-6-KINASE-RXN // 2.7.7.33-RXN // RXN-9469 // RXN-9467 // STREPTOMYCIN-6-PHOSPHATASE-RXN // RXN-9471 // RXN-9470 // 2.4.2.27-RXN // 2.1.4.2-RXN // SCYLLO-INOSAMINE-KINASE-RXN // 2.6.1.50-RXN
PWY-2561	Interconversion // AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN // Interconversion	TAX-3803	TAX-3827	RXN-4207 // RXN-4206 // RXN-4204 // RXN-4201
PWY-1723	C1-COMPOUNDS	Formaldehyde-Oxidation	TAX-2	TAX-272630 // TAX-266265 // ORG-6000	RXN-2884 // 3.5.4.27-RXN // RXN-2883 // RXN-2882
PWY-6337	SECONDARY-METABOLITE-BIOSYNTHESIS	ISOQUINOLINE-ALKALOIDS	TAX-33090	TAX-150095 // TAX-3467 // TAX-22774 // TAX-3469 // TAX-150094 // TAX-258211	RETICULINE-OXIDASE-RXN // RXN-10888
PWY-6915	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-1883	TAX-29301 // TAX-1905 // TAX-285471	RXN-12660 // RXN-12658 // RXN-12654 // RXN-12655 // RXN-12653 // RXN-12652 // RXN-12650 // RXN-12649 // PENTALENENE-SYNTHASE-RXN // RXN-12651
PWY-7369	Interconversion	Interconversion	TAX-2759 // TAX-2 // TAX-4751	TAX-4932	THIAMIN-TRIPHOSPHATASE-RXN // THIAMIN-DIPHOSPHATE-KINASE-RXN
PWY-7909	C1-COMPOUNDS	Formaldehyde-Oxidation	TAX-2	TAX-1471	FORMYLTHFDEFORMYL-RXN // RXN-2881 // METHYLENETHFDEHYDROG-NADP-RXN // METHENYLTHFCYCLOHYDRO-RXN
PWY-3581	SECONDARY-METABOLITE-BIOSYNTHESIS	S-Reticuline-Biosynthesis	TAX-3440 // TAX-3465 // TAX-3455 // TAX-3401 // TAX-41773	TAX-33814 // TAX-3442 // TAX-397412 // TAX-3467 // TAX-3469 // TAX-150094 // TAX-79802	TYROSINE-AMINOTRANSFERASE-RXN // 4.1.1.80-RXN // RXN-9978 // RXN-5861 // 2.1.1.116-RXN // 1.14.13.71-RXN // 2.1.1.140-RXN // 2.1.1.128-RXN // S-NORLAUDANOSOLINE-SYNTHASE-RXN // RXN66-221 // TYROSINE-DECARBOXYLASE-RXN
P41-PWY	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Pyruvate-Lactate-Fermentation // Super-Pathways	TAX-2	TAX-272634	PWY-5481 // PWY-5482
PWY-7355	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-55158	TAX-55158	RXN-14855
FORMASS-PWY	C1-COMPOUNDS	Formaldehyde-Oxidation	TAX-1224	TAX-303	FORMALDEHYDE-DEHYDROGENASE-RXN
PWY-6133	SECONDARY-METABOLITE-BIOSYNTHESIS	S-Reticuline-Biosynthesis	TAX-40674	TAX-9606	TYROSINE-DECARBOXYLASE-RXN // RXN-5861 // 2.6.1.49-RXN // RXN-9981 // RXN-9980 // RXN-9979 // RXN-9978
PWY-7670	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // POLYKETIDE-SYN	TAX-4751	TAX-42747	RXN-16700 // RXN-16699 // RXN-16698
PWY-7908	C1-COMPOUNDS	Formaldehyde-Oxidation	TAX-2	TAX-1471 // TAX-224308	RXN-18815 // RXN-18814 // RXN-18813
PWY-5482	Energy-Metabolism	Pyruvate-Acetate-Fermentation	TAX-2	TAX-272634	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVDEH-RXN
PWY-7809	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // Super-Pathways	TAX-2	TAX-1927 // TAX-1265868	PWY-7811 // PWY-7812
GLNSYN-PWY	Noncarbon-Nutrients // Amino-Acid-Biosynthesis	Ammonia-Assimilation // GLUTAMINE-SYN	TAX-2759 // TAX-2 // TAX-2157	TAX-511145 // TAX-2252 // TAX-9606 // TAX-246199 // TAX-4932 // TAX-1140	GLUTAMINESYN-RXN
RUMP-PWY	C1-COMPOUNDS // Energy-Metabolism	Energy-Metabolism // Formaldehyde-Oxidation	TAX-2	TAX-405 // ORG-5879 // ORG-5914 // ORG-5917	GLU6PDEHYDROG-RXN // PGLUCISOM-RXN // RXN-3341 // 6PGLUCONOLACT-RXN // R12-RXN // R10-RXN
PWY-8040	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // POLYKETIDE-SYN	TAX-201174	TAX-42684 // TAX-67297 // TAX-1245512	ALARACECAT-RXN // RXN-20431 // RXN-20425 // RXN-20424 // RXN-18014 // RXN-20415 // RXN-20329 // RXN-20327 // RXN-20328
PWY-5505	Super-Pathways // Amino-Acid-Biosynthesis // Metabolic-Clusters	GLUTAMATE-SYN // GLUTAMINE-SYN // Metabolic-Clusters // Super-Pathways	TAX-2759 // TAX-2 // TAX-2157	TAX-511145 // TAX-2252 // TAX-9606 // TAX-3871 // TAX-246199 // TAX-4932 // ORG-5993	GLNSYN-PWY // PWY-4341 // GLUGLNSYN-PWY // GLUTSYN-PWY // GLUTSYNIII-PWY // GLUTAMATE-SYN2-PWY
PWY-1801	C1-COMPOUNDS	Formaldehyde-Oxidation	TAX-2759 // TAX-2	TAX-511145 // TAX-9606 // TAX-266 // TAX-34007 // TAX-1063 // TAX-4932	RXN-2962 // RXN-2961 // S-FORMYLGLUTATHIONE-HYDROLASE-RXN
PWY-5537	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Super-Pathways	TAX-2 // TAX-33682 // TAX-33154	TAX-5656 // TAX-33011 // TAX-6192 // TAX-5671 // TAX-5665 // TAX-5706 // TAX-5691 // TAX-5693	PYRUVDEH-RXN // SUCCCOASYN-RXN // PWY-5536
PWY-8387	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-562	TAX-562	TRANS-RXN-1532 // RXN-23330 // RXN-23329 // RXN-23327 // RXN-23326 // RXN-23325 // RXN-23324
GLUGLNSYN-PWY	Amino-Acid-Biosynthesis	GLUTAMATE-SYN	TAX-33090 // TAX-4751	TAX-3871 // TAX-4932	GLUTAMATE-SYNTHASE-NADH-RXN
PWY1G-170	C1-COMPOUNDS	Formaldehyde-Oxidation	TAX-201174	TAX-1814 // TAX-196627 // TAX-1772 // TAX-1773 // TAX-83332 // TAX-1833	RXN-6581 // 1.2.1.66-RXN // RXN1G-129
PWY-5631	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-4751 // TAX-2	TAX-5044 // TAX-1913 // TAX-1901	1.14.11.26-RXN // 1.14.20.1-RXN // 5.1.1.17-RXN
GLUTSYNIII-PWY	Amino-Acid-Biosynthesis	GLUTAMATE-SYN	TAX-33154 // TAX-2 // TAX-2157	TAX-511145 // TAX-4932	GLUTDEHYD-RXN
PWY-2201	Cofactor-Biosynthesis	Folate-Transformations	TAX-2759 // TAX-2 // TAX-2157	TAX-33035 // TAX-1497 // TAX-511145 // TAX-9606 // TAX-1582 // TAX-410 // TAX-272630 // TAX-1525 // ORG-6222 // ORG-6000 // ORG-5971	RXN-5061 // RXN-22438 // RXN-21991 // GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // FORMYLTHFDEFORMYL-RXN // GCVMULTI-RXN // HOMOCYSMETB12-RXN // 1.5.1.20-RXN // 5-FORMYL-THF-CYCLO-LIGASE-RXN // 1.5.1.15-RXN
PWY-5768	Energy-Metabolism	Pyruvate-Acetate-Fermentation	TAX-4751	TAX-4932	RXN0-3962 // RXN-6161
PWY-5993	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // Super-Pathways	TAX-201174	TAX-33910 // TAX-749927	PWY-5984 // PWY-5979 // PWY-5978
ARGASEDEG-PWY	Amino-Acid-Degradation // Amino-Acid-Biosynthesis	ARGININE-DEG // GLUTAMATE-SYN	TAX-3193 // TAX-33208 // TAX-2157 // TAX-2	TAX-358 // TAX-33931 // TAX-1402 // TAX-1423 // TAX-9606 // TAX-3349 // TAX-2287 // TAX-271 // ORG-5993	RXN-14116 // ORNITHINE-GLU-AMINOTRANSFERASE-RXN // ARGINASE-RXN
1CMET2-PWY	Cofactor-Biosynthesis	Folate-Transformations	TAX-4751 // TAX-33208 // TAX-2	TAX-511145	THYMIDYLATESYN-RXN // GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // METHENYLTHFCYCLOHYDRO-RXN // GCVMULTI-RXN // HOMOCYSMETB12-RXN // RXN-22438 // 5-FORMYL-THF-CYCLO-LIGASE-RXN // DIHYDROFOLATEREDUCT-RXN
PWY-7000	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // Super-Pathways	TAX-201174	TAX-1967	PWY-7014 // RXN-14401 // RXN-14402 // RXN-13166 // RXN-13165 // RXN-13149 // RXN-13148 // RXN-13147 // RXN-13146 // RXN-13145 // RXN-13127 // RXN-13125 // RXN-13124 // RXN-13123 // RXN-13121 // RXN-13122 // RXN-13116 // RXN-13117 // RXN-13119 // RXN-13118
GLUTSYN-PWY	Amino-Acid-Biosynthesis	GLUTAMATE-SYN	TAX-33090 // TAX-4751 // TAX-2 // TAX-2157	TAX-192 // TAX-1402 // TAX-511145 // TAX-311400	GLUTAMIN-RXN // RXN-20084
PWY-3841	Cofactor-Biosynthesis	Folate-Transformations	TAX-33090	TAX-3847 // TAX-3888 // TAX-4081 // TAX-4113 // TAX-3562 // ORG-5993	THYMIDYLATESYN-RXN // GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // GCVMULTI-RXN // HOMOCYSMETB12-RXN // RXN-22438 // 5-FORMYL-THF-CYCLO-LIGASE-RXN // RXN-6321 // DIHYDROFOLATEREDUCT-RXN
P142-PWY	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Super-Pathways	TAX-2	TAX-1501 // TAX-272562 // TAX-28446 // TAX-1488	PWY0-1312 // PYRUFLAVREDUCT-RXN
PWY-7483	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-47716	RXN-14695 // RXN-15056 // RXN-11975 // RXN-15413 // RXN-15412 // RXN-15409 // RXN-15408 // RXN-15407 // RXN-15406 // RXN-15405 // RXN-15404 // RXN-15403 // RXN-15402
GLUTAMATE-SYN2-PWY	Amino-Acid-Biosynthesis	GLUTAMATE-SYN	TAX-33154 // TAX-2 // TAX-2157	TAX-9606	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
PWY-7307	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN-14716 // RXN-14715 // RXN-14714
PWY-7693	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-1238679	RXN-20452 // RXN-16913 // RXN-16912 // RXN-16909 // RXN-16910 // RXN-14196 // GLYCINE-AMIDINOTRANSFERASE-RXN // RXN-16906 // RXN-16907 // RXN-16908 // RXN-16902 // RXN-16901 // RXN-16900
PWY-4341	Amino-Acid-Biosynthesis	GLUTAMATE-SYN	TAX-33090 // TAX-1117	TAX-1148 // TAX-29760 // ORG-5993	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
PWY-7339	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN-14781 // RXN-14780 // RXN-14794 // RXN-14793 // RXN-14792 // RXN-14791
PWY-5100	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Pyruvate-Lactate-Fermentation // Super-Pathways	TAX-2	TAX-2336	PWY-5481 // P142-PWY
PWY-7812	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-1927 // TAX-1265868	RXN-17988 // ANHYDROTETRACYCLINE-MONOOXYGENASE-RXN // RXN-17975 // RXN-17976 // RXN-17977 // RXN-17978 // RXN-17979 // RXN-17980 // RXN-17981
FAO-PWY	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-33084 // TAX-33208 // TAX-2	TAX-511145 // TAX-9606	ENOYL-COA-HYDRAT-RXN // ENOYL-COA-DELTA-ISOM-RXN // ACYLCOADEHYDROG-RXN // ACYLCOASYN-RXN // OHBUTYRYL-COA-EPIM-RXN // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN
PWY-6284	Super-Pathways // Lipid-Biosynthesis	Super-Pathways // Unsaturated-Fatty-Acids-Biosynthesis	TAX-2	TAX-511145	PWY-5973 // PWY-6282 // PWY0-862
PWY-8293	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-58347 // TAX-66896	RXN-22519 // RXN-22521 // RXN-22522 // RXN-22520 // RXN-22523
PWY-7967	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2	TAX-1525	RXN-19300 // RXN-19304 // RXN-19323
PWY-8182	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-33208	TAX-9606	RXN-12561 // RXN-21771 // RXN-21770 // RXN-21769 // RXN-21763 // RXN-21765 // RXN-21766 // RXN-21767 // RXN-21768
PWY-7691	Lipid-Biosynthesis	Branched-Fatty-Acids-Biosynthesis // Unsaturated-Fatty-Acids-Biosynthesis	TAX-2	TAX-1063	RXN-16880 // RXN-16881
PWY-5485	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Super-Pathways	TAX-2	TAX-1351 // TAX-1301 // TAX-511145	PWY0-1312 // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVFORMLY-RXN
PWY-5634	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // Super-Pathways	TAX-4751 // TAX-2	TAX-5044 // TAX-1913 // TAX-162425 // TAX-5076 // TAX-1901	PWY-5633 // PWY-5632 // PWY-5631 // PWY-5630 // PWY-5629
PWY-7970	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2	TAX-29466	RXN-19298 // RXN-19302 // RXN-19326
PWY-5136	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-33090	TAX-3659 // ORG-5993	RXN-11026 // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // ACYLCOASYN-RXN
PWY-5361	Lipid-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	TAX-3398	TAX-28973 // TAX-42439	RXN-8372
PWY-6324	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-68170	RXN-18336 // RXN-16966 // RXN-10842 // RXN-10843 // RXN-10845 // RXN-10846 // RXN-10847
PWY-7963	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2	TAX-2378 // TAX-29466	RXN-16790 // RXN-19314 // RXN-19297
PWY66-387	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-33208	TAX-9606 // TAX-10116	RXN66-483 // RXN66-472 // RXN66-471 // FORMYL-COA-HYDROLASE-RXN // RXN66-470 // RXN66-469
PWY-5973	Lipid-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	TAX-2 // TAX-3398	TAX-48545 // TAX-73871 // TAX-511145	RXN-9558 // RXN-9557 // RXN-9556 // 2.3.1.179-RXN // RXN-9555
PWY-5600	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Super-Pathways	TAX-2759	TAX-3055 // TAX-40806	PWY0-1312 // PYRUFLAVREDUCT-RXN
PWY-7018	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-68185 // TAX-282216	RXN-13212 // RXN-13211 // RXN-13210 // RXN-13209 // RXN-13208 // RXN-13207
PWY-7966	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2	TAX-1497	RXN-19322 // RXN-19301 // RXN-19305
PWY-6837	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-33154 // TAX-33090	TAX-4932 // ORG-5993	RXN-7911 // RXN-7836 // RXN-12520 // RXN-12519 // RXN-12518
PWY-7663	Lipid-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	TAX-2	TAX-1377	RXN-16632 // RXN-16631 // RXN-16630 // RXN-16629
PWY-7547	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-615	RXN-15786 // RXN-15785 // RXN-15769 // RXN-15778 // RXN-15787 // RXN-15777 // RXN-15783 // RXN-15784 // RXN-15782 // RXN-15781 // RXN-15780 // RXN-15779
PWY-5067	Glycan-Pathways // Carbohydrates-Biosynthesis	GLYCOGEN-BIOSYN	TAX-4751 // TAX-33208	TAX-9606 // TAX-5141 // TAX-9986 // TAX-10116 // TAX-4932	RXN-7669 // RXN-7668 // RXN-7667 // GLYCOGENIN-GLUCOSYLTRANSFERASE-RXN
PWY-7969	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2157 // TAX-2	TAX-2161 // TAX-2198 // TAX-2221 // TAX-2208 // TAX-79929 // TAX-29543	RXN-19299 // RXN-19303 // RXN-19320
PWY-7292	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN0-5390 // RXN0-5391
PWY-5367	Lipid-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	TAX-3398	TAX-4039 // TAX-4047 // TAX-4052	RXN-9554 // RXN-9553 // RXN-9552 // RXN-9551 // RXN-8391 // RXN-8390
PWY-5096	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Super-Pathways	TAX-554915 // TAX-2157	TAX-5759 // TAX-2261	ALANINE-SYN2-PWY // PWY-5483
PWY-7706	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-549	RXN-19819 // RXN-18395 // RXN-18393 // RXN-16991 // RXN-16990 // RXN-16989 // RXN-16987 // RXN-16988 // RXN-16290 // RXN-16985 // RXN-16291 // RXN-16292 // RXN-16293
PWY-7961	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2	TAX-1122947 // TAX-2378	RXN-19315 // RXN-19296 // RXN-14701
PWY-7338	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN-14781 // RXN-14780 // RXN-14779 // RXN-14778 // RXN-14777 // RXN-14790 // RXN-14789 // RXN-14788 // RXN-14787 // RXN-14786 // RXN-14785 // RXN-14784
PWY-7618	Lipid-Biosynthesis	Hydroxy-Fatty-Acids-Biosynthesis // Unsaturated-Fatty-Acids-Biosynthesis	TAX-33090	TAX-153659 // TAX-98028 // TAX-63442 // TAX-439687 // TAX-3988 // ORG-5993 // ORG-6270	RXN-19426 // RXN-19425 // PHOSPHATIDYLCHOLINE-12-MONOOXYGENASE-RXN
PWY-7911	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-5204	TAX-47427 // TAX-47429	RXN-18831 // RXN-18828 // RXN-18829 // RXN-13761 // RXN-18830
GLYCOGENSYNTH-PWY	Glycan-Pathways // Carbohydrates-Biosynthesis	GLYCOGEN-BIOSYN	TAX-2	TAX-511145	PHOSPHOGLUCMUT-RXN // GLUC1PADENYLTRANS-RXN // GLYCOGEN-BRANCH-RXN // GLYCOGENSYN-RXN
PWY-7965	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2	TAX-90371	RXN-19316 // RXN-19318 // RXN-19319
PWY-8181	Fatty-Acid-and-Lipid-Degradation // Metabolic-Clusters	Fatty-Acid-Degradation // Metabolic-Clusters	TAX-33208	TAX-9606 // TAX-10116	RXN-21787 // RXN-21786 // RXN-21785 // RXN-21784 // RXN-21783 // RXN-21782 // RXN-21781 // RXN-21780 // RXN-21779 // RXN-21777 // RXN-21773 // RXN-21774 // RXN-21775 // RXN-21776
PWY-5362	Lipid-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	TAX-3398	TAX-32198	RXN-8388
PWY-5483	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Super-Pathways	TAX-554915 // TAX-2157	TAX-2261 // TAX-5759	PWY-5535 // ACETATE--COA-LIGASE-ADP-FORMING-RXN // PYRUFLAVREDUCT-RXN
PWY-8336	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-285482	RXN-22853 // RXN-22849 // RXN-22846 // RXN-22843 // RXN-22840 // RXN-22856 // RXN-22855 // RXN-22841
PWY-7968	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2157 // TAX-2	TAX-2234 // TAX-2296 // TAX-894 // TAX-2223 // TAX-1744 // TAX-2303	RXN-19306 // RXN-19307 // RXN-19324
PWY-2724	Hydrocarbon-Degradation	Hydrocarbon-Degradation	TAX-3193 // TAX-4751	TAX-5479 // TAX-5482 // TAX-4952 // TAX-94006 // ORG-5993	RXN-4466 // RXN-4465 // RXN-4464 // RXN-4142 // RXN-4444 // RXN-4443
PWY-5757	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-1906 // TAX-43759	RXN-19877 // RXN-19876 // RXN-9011 // RXN-9010 // RXN-9009 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY-7900	Glycan-Pathways // Carbohydrates-Biosynthesis	GLYCOGEN-BIOSYN	TAX-2	TAX-1772 // TAX-83332	RXN-18777 // RXN-761 // TREHALOSEPHOSPHA-RXN // 5.4.99.16-RXN // RXN-12960 // RXN-13028 // RXN-18305 // PHOSPHOGLUCMUT-RXN
PWY-7975	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-1239	TAX-1462 // TAX-1642	RXN-19372 // TRANS-RXN-343 // RXN-8770 // COBALAMIN5PSYN-RXN
